student_id,first_name,last_name,email
idR232,test,testLast,test@gamil.com
idR231,test1,testLast1,test1@gamil.com
idR222,test2,testLast2,test2@gamil.com
idR223,test3,testLast3,test3@gamil.com
S324343,testeeq,rerekfl,fdfsf@gmail.com
ow3443,Skdmr,Skdmr,Skdmr@gmail.com
ow34436,Skdmr6,Skdmr6,Skdmr6@gmail.com
S00132,testee,testee,testee@gmail.com
s0004,rers,rers,rers@gmail.com
S0032,TEST,TEST,TEST@gmai.com
S010,Lara,Croft,lara@example.com
S011,Indiana,Jones,indy@example.com
S012,Sherlock,Holmes,sherlock@example.com
S013,Tony,Stark,tony@example.com
S014,Laraa,Croftt,laraa@example.com
S015,Indianaa,Joness,indyy@example.com
S016,Sherlockk,Holmess,sherlockk@example.com
S017,Tonyy,Starkk,tonyy@example.com
S018,The Rock ,Jonson,Jonson@example.com
S099,Test,Student,test@example.com
S100,100,100,100@examle.com
S101,Peter,Peter Nachname,peter@example.com
